n
"{complexity:medium,integrants:2,description:This project is about the creation of a software to generate projects. You need to know how to code.,time:11,title:Project Generator}"
"{integrants:3,complexity:low,description:Calculate the angular velocity of the sun, coding,time:7,title:Sun Rotation}"
"{integrants:1,complexity:easy,description:Experiment with people and theory of behaviorism,time:210,title:Behaviorism}"
"{integrants:55,complexity:hard,description:Experiment to avoid extintion,time:2102400000,title:Gestalt}"
"{integrants:5,complexity:hard,description:Social experiment where a superhero is near of you,time:210,title:Avengers}"
"{integrants:5,complexity:hard,description:Centro de Administracion y Control Automatico de Papel,time:210,title:CACAP}"
"{title:Computer,specifications:A computer with an ide to code}"
"{title:fruit,specifications:A fresh fruit}"
"{title:vegetable,specifications:A fresh vegetable}"
"{title:subjects,specifications:Humans for investigation}"
"{title:custom,specifications:a custom or suit}"
"{title:raspberry,specifications:a mini-computer with raspberry}"
"{title:Data Structure,Departament:Computer Science}"
"{title:Physics 2,Departament:Physics}"
"{title:Basic psicology,Departament:Psicology}"
"{title:Humanity Sciences,Departament:Social studies}"
"{title:Basic coding,Departament:Computer Sciences}"
